Date,Close,High,Low,Open,Volume
2020-10-14,323.4058533,327.1239099,322.6715575,326.02709,57727900
2020-10-15,323.006134,323.4894711,318.9441622,319.4832678,60357700
2020-10-16,322.8109741,326.0270851,322.6343642,324.3632469,89501900
2020-10-19,317.9031067,324.7071279,317.0014769,324.0750652,68425600
2020-10-20,319.1765442,322.4298434,318.4887129,319.2508928,60051900
2020-10-21,318.5723572,321.3051307,318.2656017,319.1300429,63575000
2020-10-22,320.3198242,320.9054226,316.6389565,318.7861317,55399300
2020-10-23,321.4074707,321.6026608,318.9442633,321.5468922,49143900
2020-10-26,315.4678345,318.804787,311.9635478,318.0146943,91473000
2020-10-27,314.380249,316.1463201,314.1664506,315.8117086,65994100
2020-10-28,303.6351013,314.4081671,303.1424599,308.6916607,127094300
2020-10-29,306.7210999,309.9000225,302.1757619,303.8674845,90597700
2020-10-30,303.5235596,306.4515235,299.8612715,305.1409051,120287300
2020-11-02,306.9255981,308.9333238,304.1742157,306.9255981,86068300
2020-11-03,312.344696,314.408219,307.0092929,310.1696359,93294200
2020-11-04,319.3252563,323.4151124,315.6536646,316.8341372,126959700
2020-11-05,325.5530396,327.3656036,324.2703054,324.6235254,82039700
2020-11-06,325.4786377,326.7334873,323.1455484,325.2648393,74973000
2020-11-09,329.568573,338.6964098,329.1038159,338.3153056,172304200
2020-11-10,329.085144,330.1447753,325.8039608,328.5738943,85552000
2020-11-11,331.5298462,332.3570991,330.0333136,331.2788592,58649000
2020-11-12,328.3136902,331.576294,326.5011546,330.5166342,67546200
2020-11-13,332.8590088,333.6026087,329.7079423,330.228468,62892200
2020-11-16,337.0139465,337.2091366,334.2439842,335.5360225,74541100
2020-11-17,335.201355,336.4097403,333.0820641,334.5971765,66111000
2020-11-18,331.1672974,336.0193623,331.1301089,335.4709524,70591300
2020-11-19,332.561615,332.933415,329.1874736,330.5352807,59940900
2020-11-20,330.2843018,332.5058545,330.2099531,332.3013603,70417300
2020-11-23,332.2640381,333.5281918,329.8566004,332.0967324,63230600
2020-11-24,337.6181335,338.1665435,333.9651497,334.8202869,62415900
2020-11-25,337.0975952,337.5623523,336.0007754,337.534468,45330900
2020-11-27,338.0364075,338.5104404,337.0232121,338.194409,28514100
2020-11-30,336.539917,337.5251998,333.8536356,337.2556327,83872700
